"Subject","Inh.grid.correct","StopSignal_trimmed_change_latency","Inh.cylinders.correct","Inh.boxes.correct"
"Ajabu",0.583333333333333,2148,0.583333333333333,0.5
"Akela",0.416666666666667,1354,0.5,0.125
"Alikaka",0.416666666666667,2387,0.5,0.208333333333333
"Alley",0.416666666666667,4451,0.625,0.125
"Amahirwe",0.416666666666667,1534,0.583333333333333,0.125
"Amizero",0.25,4694,0.583333333333333,0.166666666666667
"Angela",0.333333333333333,1892,0.708333333333333,0.208333333333333
"Bahati",0.5,1838,0.416666666666667,0.375
"Cheetah",0.333333333333333,2306,0.529411764705882,0.0833333333333333
"Chipie",0.5,3319,0.833333333333333,0.4
"Dufatanya",0.333333333333333,852,0.375,0.333333333333333
"George",0.363636363636364,NA,NA,NA
"Jane",0.416666666666667,1988,NA,0.333333333333333
"Joy",0.333333333333333,2226,0.666666666666667,0.208333333333333
"Judy",0.583333333333333,2791,0.411764705882353,0.25
"Julia",0.333333333333333,NA,0.541666666666667,0.166666666666667
"Kisa",0.3,2431,0.625,0.458333333333333
"Manno",0.583333333333333,1246,0.625,0.0416666666666667
"Mary",0.0833333333333333,1554,0.25,0.291666666666667
"Mwanzo",0.5,1790,0.416666666666667,0.375
"Niyonkuru",0.25,NA,0.458333333333333,0.333333333333333
"Oscar",0.166666666666667,1445,0.583333333333333,0.333333333333333
"Roy",0.5,2342,0.708333333333333,0.25
"Safari",0.5,3518,0.458333333333333,0.1875
"Saidia",0.272727272727273,4830,0.5,NA
"Tess",0.416666666666667,1454,0.833333333333333,0.0833333333333333
"Uruhara",0.333333333333333,2056,0.625,0.291666666666667
"William",0.25,2156,0.208333333333333,0.208333333333333
"Zee",0.333333333333333,4295,0.375,0.333333333333333
"Edvard",NA,1283,NA,0.0833333333333333
