"Subject","Updating_P1.mistakes","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Boxes_P1.mistakes","Grid_Distance"
"Ajabu",1.25,3.5,3,0.75,1.09408251683333
"Akela",2,2.66666666666667,4,0.625,1.60223106341667
"Alikaka",1.25,0.333333333333333,4.33333333333333,0.5,1.41257038475
"Alley",1,1,2.33333333333333,0.75,1.18688672391667
"Amahirwe",1.75,5,5,0.75,1.19171358983333
"Amizero",1.5,1,1,0.625,1.38752346158333
"Angela",1.75,5,5,0.875,1.407195793
"Bahati",1.75,2,1.66666666666667,0.5,1.41311811058333
"Cheetah",0.75,3.66666666666667,2.33333333333333,0.625,1.15774351875
"Chipie",3,3.66666666666667,5,0.875,1.39289805333333
"Dufatanya",1.25,2.33333333333333,3.66666666666667,0.625,1.22085679491667
"Edvard",1.25,4.5,5,0.875,1.216760513
"Jane",2.25,4.33333333333333,2.66666666666667,0.875,1.68333816783333
"Joy",1.5,3.66666666666667,4,0.625,1.48105825266667
"Judy",1.5,1.66666666666667,2.5,0.75,1.10892798225
"Julia",1,1.33333333333333,5,0.625,1.03989238858333
"Kisa",1.25,1,0,0.375,1.26020145775
"Manno",1.5,1.66666666666667,3.66666666666667,0.625,1.275594649
"Mary",2,2.33333333333333,3.66666666666667,0.625,1.22533715118182
"Mwanzo",2,3.66666666666667,3,0.75,0.941713589833333
"Niyonkuru",1.25,1.66666666666667,2.66666666666667,0.5,1.17204125841667
"Oscar",2.5,3.66666666666667,4.33333333333333,0.625,1.49107685216667
"Roy",1.75,5,5,0.375,1.3632071225
"Safari",0,3,2.33333333333333,0.625,1.08793332383333
"Tess",1.25,2.33333333333333,3,0.75,1.83980726908333
"Uruhara",1,4.33333333333333,4.33333333333333,0.5,1.39212345208333
"William",1.5,4,3.33333333333333,0.625,1.43688672383333
"Zee",2,3.33333333333333,5,0.75,1.20655905525
